 Node "Betweenness Unweighted" "Betweenness Weighted"
0 0 29.915478527471517 6.0
1 1 37.789285323134244 546.0
2 2 12.875275351715187 140.0
3 3 22.693727571693636 0.0
4 4 29.71116241848008 0.0
5 5 42.8003828858821 268.0
6 6 14.719149184694405 8.0
7 7 32.69145661371373 0.0
8 8 26.40227578055833 22.0
9 9 30.363897106829498 406.0
10 10 31.258954055710767 0.0
11 11 30.44173257621585 832.0
12 12 26.191496776534073 42.0
13 13 47.544794550810046 236.0
14 14 90.26481684018633 360.0
15 15 12.422754547786331 0.0
16 16 35.569484246275756 304.0
17 17 30.16979766803269 98.0
18 18 19.067233019081115 8.0
19 19 38.535112874009926 372.0
20 20 18.026552556288387 6.0
21 21 55.63212743259968 140.0
22 22 23.450489365245005 148.0
23 23 46.79091225351088 302.0
24 24 15.718457980602507 58.0
25 25 24.03339387045181 20.0
26 26 18.84420830755187 0.0
27 27 10.397307136231236 0.0
28 28 107.20149122657182 208.0
29 29 50.99594116674996 72.0
30 30 34.872239091710526 12.0
31 31 34.62983900160215 62.0
32 32 66.63169381572759 324.0
33 33 28.727286213534068 184.0
34 34 35.218830925398684 678.0
35 35 40.817798415559814 440.0
36 36 19.652603017043635 328.0
37 37 21.154389442793956 0.0
38 38 20.418071857599614 0.0
39 39 38.63493850213057 102.0
40 40 24.831670839819754 50.0
41 41 27.12316098298671 296.0
42 42 24.3532382396006 364.0
43 43 56.58882863533481 828.0
44 44 35.216548826367855 244.0
45 45 39.26263202721284 0.0
46 46 23.362612820645662 274.0
47 47 16.458124353845474 120.0
48 48 43.70511804760045 908.0
49 49 16.430393148945004 480.0
50 50 43.9018847150419 38.0
51 51 28.273829188917365 668.0
52 52 56.52938892032359 40.0
53 53 30.653984623140605 498.0
54 54 21.0704648943601 146.0
55 55 68.71010549679488 1018.0
56 56 16.747759479068165 0.0
57 57 35.01898763725227 0.0
58 58 19.727345314336834 204.0
59 59 31.012234069984324 46.0
60 60 23.371656509277965 0.0
61 61 11.391397393802245 0.0
62 62 70.52942245233882 60.0
63 63 22.245210567868824 0.0
64 64 33.48897373783186 302.0
65 65 61.19094040007909 56.0
66 66 39.64727354253867 6.0
67 67 29.879973636963925 32.0
