 Node CluseringCoefficient
0 0 0.6774193548387096
1 1 0.6167557932263814
2 2 0.7758620689655172
3 3 0.6850574712643678
4 4 0.6160919540229886
5 5 0.5754985754985755
6 6 0.7913978494623656
7 7 0.5789473684210527
8 8 0.7112375533428165
9 9 0.6111111111111112
10 10 0.6528735632183909
11 11 0.6408602150537634
12 12 0.7102272727272727
13 13 0.632258064516129
14 14 0.5269230769230769
15 15 0.7635327635327636
16 16 0.6555555555555556
17 17 0.6676923076923077
18 18 0.7600806451612904
19 19 0.5925925925925926
20 20 0.7137681159420289
21 21 0.6290143964562569
22 22 0.6920289855072463
23 23 0.6351351351351351
24 24 0.7563025210084033
25 25 0.704201680672269
26 26 0.7496443812233285
27 27 0.7644927536231884
28 28 0.5095137420718816
29 29 0.5661375661375662
30 30 0.6666666666666666
31 31 0.6561561561561562
32 32 0.5743589743589743
33 33 0.6574712643678161
34 34 0.6068965517241379
35 35 0.6443812233285917
36 36 0.7492063492063492
37 37 0.6921182266009852
38 38 0.7435897435897436
39 39 0.582010582010582
40 40 0.7312312312312312
41 41 0.7045454545454546
42 42 0.7222222222222222
43 43 0.5904761904761905
44 44 0.676923076923077
45 45 0.6096256684491979
46 46 0.7161290322580646
47 47 0.7657657657657657
48 48 0.5967741935483871
49 49 0.7364532019704434
50 50 0.626984126984127
51 51 0.7141025641025641
52 52 0.598780487804878
53 53 0.6258064516129033
54 54 0.7118279569892473
55 55 0.5878048780487805
56 56 0.7333333333333333
57 57 0.6537634408602151
58 58 0.734920634920635
59 59 0.6891891891891891
60 60 0.732574679943101
61 61 0.75
62 62 0.5737514518002322
63 63 0.6988505747126437
64 64 0.6771771771771772
65 65 0.5890243902439024
66 66 0.6453781512605042
67 67 0.6704545454545454
