 Node Strength
0 0 3.748862786635754
1 1 6.8512938179877745
2 2 5.787594555744901
3 3 6.871786607176487
4 4 4.275022033942372
5 5 4.579517489319758
6 6 7.942222094990289
7 7 4.562894048013714
8 8 10.23639015595766
9 9 4.193059895438885
10 10 5.320514039139088
11 11 4.983956327495678
12 12 7.066003172876685
13 13 5.597180309360326
14 14 3.7220386366415545
15 15 6.6530706781662765
16 16 5.455565150849323
17 17 5.271420616005972
18 18 6.1888778060498915
19 19 4.358580533153717
20 20 5.820070984799606
21 21 7.768296623431171
22 22 5.502776755707639
23 23 7.9399563614641835
24 24 9.048533941729877
25 25 7.279916316808758
26 26 10.828679871458043
27 27 5.2954267244528594
28 28 6.262387902300632
29 29 5.0586065221913055
30 30 5.505913623006705
31 31 6.310070697263946
32 32 6.737505258957173
33 33 5.999581948428595
34 34 3.173256338580839
35 35 5.991217238320367
36 36 8.996296880801761
37 37 5.911007054737795
38 38 7.9854534073952275
39 39 4.0871414877692205
40 40 8.989660769221032
41 41 5.075175328499333
42 42 10.245874299189301
43 43 5.30974148262692
44 44 7.777097740907357
45 45 5.717502521740783
46 46 6.570671337926774
47 47 8.70427718931739
48 48 3.5720968534954487
49 49 7.018290765724254
50 50 6.296290054323458
51 51 9.048335023470077
52 52 6.9888445373916275
53 53 5.360685726054912
54 54 6.876311650464033
55 55 6.339989871301495
56 56 7.922824314360156
57 57 6.228390258483606
58 58 9.62193852228631
59 59 9.091486795587677
60 60 10.732813749215996
61 61 6.650507039886738
62 62 7.727991671437345
63 63 6.488111175484248
64 64 7.05378881415527
65 65 5.680204680141232
66 66 5.492648990768769
67 67 7.255472665581219
